PRODUCT_NAME;PRODUCT_DESC;PRODUCT_SCHOOL;PRODUCT_CATEGORY;PRODUCT_GENDER;PRODUCT_SIZE;PRODUCT_PRICE;PRODUCT_IMG_LINK;PRODUCT_STOCK
BASEBALL CAP;One of our classic cap designs for UAAP Adamson Soaring Falcons. 65% Polyester, 35% Cotton;ADAMSON;CAPS;U | F | M;XS | S | M | L | XL;200;img/ADU1.jpeg;33
CL FALCON;One of our new round-neck cheer shirts for UAAP Adamson Soaring Falcons. 65% Polyester, 35% Cotton;ADAMSON;CLASSIC SHIRTS;       F | M;XS | S | M | L | XL;320;img/ADU2.jpeg;31
TYPEBAR;One of our new round-neck cheer shirts for UAAP Adamson Soaring Falcons. 65% Polyester, 35% Cotton;ADAMSON;CLASSIC SHIRTS;       F | M;XS | S | M | L | XL;320;img/ADU3.jpeg;68
ESCALATE;One of our new round-neck cheer shirts for UAAP Adamson Soaring Falcons. 65% Polyester, 35% Cotton;ADAMSON;CLASSIC SHIRTS;       F | M;XS | S | M | L | XL;360;img/ADU4.jpeg;40
SUNRISE;One of our new round-neck cheer shirts for UAAP Adamson Soaring Falcons. 65% Polyester, 35% Cotton;ADAMSON;CLASSIC SHIRTS;       F | M;XS | S | M | L | XL;320;img/ADU5.jpeg;46
NJ BOLD ADAMSON;One of our new round-neck cheer shirts for UAAP Adamson Soaring Falcons. 65% Polyester, 35% Cotton;ADAMSON;CLASSIC SHIRTS;       F | M;XS | S | M | L | XL;450;img/ADU6.jpeg;68
TRIPLE ADAMSON;One of our new round-neck cheer shirts for UAAP Adamson Soaring Falcons. 65% Polyester, 35% Cotton;ADAMSON;CLASSIC SHIRTS;       F | M;XS | S | M | L | XL;250;img/ADU7.jpeg;30
NEW JOY;One of our new round-neck cheer shirts for UAAP Adamson Soaring Falcons. 65% Polyester, 35% Cotton;ADAMSON;CLASSIC SHIRTS;       F | M;XS | S | M | L | XL;200;img/ADU8.jpeg;65
WHITE COMBI POLO SHIRT;One of our classic polo shirt designs for UAAP Adamson Soaring Falcons. 65% Polyester, 35% Cotton;ADAMSON;POLO SHIRTS;U | F | M;XS | S | M | L | XL;350;img/ADU9.jpeg;51
QUADRO POLO SHIRT;One of our classic polo shirt designs for UAAP Adamson Soaring Falcons. 65% Polyester, 35% Cotton;ADAMSON;POLO SHIRTS;U | F | M;XS | S | M | L | XL;350;img/ADU10.jpeg;41
UNIVERSIDAD NEW POLO SHIRT;One of our classic polo shirt designs for UAAP Adamson Soaring Falcons. 65% Polyester, 35% Cotton;ADAMSON;POLO SHIRTS;U | F | M;XS | S | M | L | XL;595;img/ADU11.jpeg;52
AC JACKET;One of our jacket designs for UAAP Adamson Soaring Falcons. Yonex fabric;ADAMSON;JACKETS;U | F | M;XS | S | M | L | XL;950;img/ADU12.jpeg;43
CORPORATE JACKET;One of our jacket designs for UAAP Adamson Soaring Falcons. Asprey fabric;ADAMSON;JACKETS;U | F | M;XS | S | M | L | XL;950;img/ADU13.jpeg;51
UNIVERSIDAD JACKET;One of our jacket designs for UAAP Adamson Soaring Falcons.;ADAMSON;JACKETS;U | F | M;XS | S | M | L | XL;950;img/ADU14.jpeg;52
JOGGER PANTS;One of our classic jogger pants designs for UAAP Adamson Soaring Falcons.;ADAMSON;BOTTOMS;U | F | M;XS | S | M | L | XL;350;img/ADU15.jpeg;44
ABE Stripes;One of our new round-neck cheer shirts for UAAP Ateneo Blue Eagles. 65% Polyester, 35% Cotton;ATENEO;CLASSIC SHIRTS;       F | M;XS | S | M | L | XL;450;https://www.schoolbusclothing.com/wp-content/uploads/2019/06/Ateneo_ABE-Stripes_Royal-Blue.png;31
Ateneo ALE Heart Strong;One of our new round-neck cheer shirts for UAAP Ateneo Blue Eagles. 65% Polyester, 35% Cotton;ATENEO;CLASSIC SHIRTS;       F | M;XS | S | M | L | XL;450;https://www.schoolbusclothing.com/wp-content/uploads/2019/06/Ateno_ALE-Heart-Strong-600x600.png;28
Ateneo Batch 2019;One of our new round-neck cheer shirts for UAAP Ateneo Blue Eagles. 65% Polyester, 35% Cotton;ATENEO;CLASSIC SHIRTS;       F | M;XS | S | M | L | XL;450;https://www.schoolbusclothing.com/wp-content/uploads/2019/06/Ateneo_batch-shirt_Royal-Blue.png;58
Ateneo Curve;One of our new round-neck cheer shirts for UAAP Ateneo Blue Eagles. 65% Polyester, 35% Cotton;ATENEO;CLASSIC SHIRTS;       F | M;XS | S | M | L | XL;400;https://www.schoolbusclothing.com/wp-content/uploads/2018/09/schoolbus-clothing_Ateneo_SBC-A-123-RB-Ateneo-Curve-Front-600x600.jpg;49
Ateneo Eagle Embro;One of our new round-neck cheer shirts for UAAP Ateneo Blue Eagles. 65% Polyester, 35% Cotton;ATENEO;CLASSIC SHIRTS;       F | M;XS | S | M | L | XL;450;https://www.schoolbusclothing.com/wp-content/uploads/2018/09/schoolbus-clothing_-Ateneo_SBC-A-116-RB-Ateneo-Eagle-Embro-Front-600x600.jpg;65
Ateneo Eagle Rubber Patch;One of our new round-neck cheer shirts for UAAP Ateneo Blue Eagles. 65% Polyester, 35% Cotton;ATENEO;CLASSIC SHIRTS;       F | M;XS | S | M | L | XL;450;https://www.schoolbusclothing.com/wp-content/uploads/2019/06/Ateneo_Eagle-Rubber-patch_royal-blue-600x600.png;51
